forecast_times,total_cost_yuan,terminal_soc_kwh,inventory_adjusted_cost_yuan,emergency_kwh,adjustment_cost_yuan,saving_vs_0_yuan,marginal_saving_yuan
0,17242490.368152928,5822.096905018519,17242563.763063114,418866.1800583926,0.0,0.0,-0.0
0+6,16562697.773341257,5822.096905018518,16562771.168251442,253910.07812918935,329056.475736876,679792.5948116705,679792.5948116705
0+6+12,15971112.30656864,5822.096905018518,15971185.701478824,185165.07563465284,204587.03228025005,1271378.0615842883,591585.4667726178
0+6+12+18,15552611.778424582,5822.096905018518,15552685.173334766,97658.31857047824,385639.67372176936,1689878.589728346,418500.52814405784
