update_hour,forecast,n_common_targets,MAE_kw,RMSE_kw
6,midnight,36072,259.80202759019,441.56212433720134
6,updated,36072,158.51647664347232,271.37144712169965
12,midnight,24048,218.44765422280437,418.3461839173032
12,updated,24048,75.2527363855622,139.72804450189918
18,midnight,12024,10.623287947715683,46.242041132539654
18,updated,12024,10.015140843313375,42.92335290156186
