forecast_issue_hour,slots,pv_forecast_mae_kw,absolute_adjustment_kwh,net_adjustment_kwh
0,12024.0,10.557807221667757,0.0,0.0
6,12024.0,184.68695151641163,590203.014819969,-72327.07487928719
12,12024.0,140.37828050011103,866026.3924361147,-397109.8345473277
18,12024.0,10.015140843313453,96183.34502870779,93045.24156249367
