date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,50694.77052438133,50694.77052438133,0.0,0.0,17786.14066581618,14376.002953858508,0.0,12906.456879090325,27406.18815597393,0.0,0.0,27406.18815597393
2025-02-02,96168.74343803353,96168.74343803353,0.0,0.0,20125.491605336774,16588.589031037325,0.0,14275.562913734086,61820.649416757056,0.0,0.0,61820.649416757056
2025-02-03,97191.65535626013,97191.65535626013,0.0,0.0,20210.489666344518,16681.73163,0.0,13445.980819915612,62279.73105154669,0.0,0.0,62279.73105154669
2025-02-04,99452.39408419801,99452.39408419801,0.0,0.0,21398.34118947611,17241.269826679687,0.0,14100.45877140159,64209.53080282593,0.0,0.0,64209.53080282593
2025-02-05,93518.53485492257,93518.53485492257,0.0,0.0,22193.482513669413,18044.54409706597,0.0,8621.169454985797,59845.03696936811,0.0,0.0,59845.03696936811
2025-02-06,99019.34221195907,99019.34221195907,0.0,0.0,20918.127065086053,17092.889603285592,0.0,14923.047533491937,63720.01576071342,0.0,0.0,63720.01576071342
2025-02-07,50318.304412174955,50318.304412174955,0.0,0.0,18423.918935413178,14674.803815347224,0.0,14763.509625442339,26704.816640688103,0.0,0.0,26704.816640688103
2025-02-08,40735.79808083536,40735.79808083536,0.0,0.0,18310.677922001993,14770.249578389758,0.0,5618.207020556466,21411.66245829507,0.0,0.0,21411.66245829507
2025-02-09,94458.99480462936,94458.99480462936,0.0,0.0,20204.781401022483,16777.72195515191,0.0,11476.519392092125,60549.76870805545,0.0,0.0,60549.76870805545
2025-02-10,89005.56448686786,89005.56448686786,0.0,0.0,20073.898520667815,16381.809952486981,0.0,10986.838335353701,56264.211262297256,0.0,0.0,56264.211262297256
2025-02-11,89456.23566069316,89456.23566069316,0.0,0.0,21821.833679370447,17814.021314839407,0.0,10227.826162828791,56805.27380486118,0.0,0.0,56805.27380486118
2025-02-12,89828.4443911656,89828.4443911656,0.0,0.0,20977.847050136155,16894.13594232639,0.0,10477.997150022498,56807.971950604464,0.0,0.0,56807.971950604464
2025-02-13,84333.43440030779,84333.43440030779,0.0,0.0,19497.227707086648,15785.631706310764,0.0,9292.359382865236,52739.369500261775,0.0,0.0,52739.369500261775
2025-02-14,41014.055245690855,41014.055245690855,0.0,0.0,18131.502348825285,14571.65047082031,0.0,7652.401551019217,21201.648048833267,0.0,0.0,21201.648048833267
2025-02-15,40341.31970037176,40341.31970037176,0.0,0.0,17404.551817677962,14250.860600394964,0.0,7907.537383088764,21253.10339633512,0.0,0.0,21253.10339633512
2025-02-16,89528.90389183802,89528.90389183802,0.0,0.0,20639.965187815764,16976.378467465274,0.0,10487.938071487542,56490.24606354174,0.0,0.0,56490.24606354174
2025-02-17,88670.36210817906,88670.36210817906,0.0,0.0,19159.83732197921,15534.326656332461,0.0,13860.98827586565,55334.723914139075,0.0,0.0,55334.723914139075
2025-02-18,77990.68753339296,77990.68753339296,0.0,0.0,22054.849528897408,17840.77605530816,34.206666666666706,1719.4329431370516,48399.90973175464,0.0,155.62323000000018,48555.532961754645
