date,weekday,month,holiday_name,is_holiday,is_makeup_workday,is_weekend,is_workday,day_type
2025-01-01,2,1,元旦,True,False,False,False,holiday
2025-01-02,3,1,,False,False,False,True,workday
2025-01-03,4,1,,False,False,False,True,workday
2025-01-04,5,1,,False,False,True,False,weekend
2025-01-05,6,1,,False,False,True,False,weekend
2025-01-06,0,1,,False,False,False,True,workday
2025-01-07,1,1,,False,False,False,True,workday
2025-01-08,2,1,,False,False,False,True,workday
2025-01-09,3,1,,False,False,False,True,workday
2025-01-10,4,1,,False,False,False,True,workday
2025-01-11,5,1,,False,False,True,False,weekend
2025-01-12,6,1,,False,False,True,False,weekend
2025-01-13,0,1,,False,False,False,True,workday
2025-01-14,1,1,,False,False,False,True,workday
2025-01-15,2,1,,False,False,False,True,workday
2025-01-16,3,1,,False,False,False,True,workday
2025-01-17,4,1,,False,False,False,True,workday
2025-01-18,5,1,,False,False,True,False,weekend
2025-01-19,6,1,,False,False,True,False,weekend
2025-01-20,0,1,,False,False,False,True,workday
2025-01-21,1,1,,False,False,False,True,workday
2025-01-22,2,1,,False,False,False,True,workday
2025-01-23,3,1,,False,False,False,True,workday
2025-01-24,4,1,,False,False,False,True,workday
2025-01-25,5,1,,False,False,True,False,weekend
2025-01-26,6,1,,False,True,True,True,makeup_workday
2025-01-27,0,1,,False,False,False,True,workday
2025-01-28,1,1,春节,True,False,False,False,holiday
2025-01-29,2,1,春节,True,False,False,False,holiday
2025-01-30,3,1,春节,True,False,False,False,holiday
2025-01-31,4,1,春节,True,False,False,False,holiday
2025-02-01,5,2,春节,True,False,True,False,holiday
2025-02-02,6,2,春节,True,False,True,False,holiday
2025-02-03,0,2,春节,True,False,False,False,holiday
2025-02-04,1,2,春节,True,False,False,False,holiday
2025-02-05,2,2,,False,False,False,True,workday
2025-02-06,3,2,,False,False,False,True,workday
2025-02-07,4,2,,False,False,False,True,workday
2025-02-08,5,2,,False,True,True,True,makeup_workday
2025-02-09,6,2,,False,False,True,False,weekend
2025-02-10,0,2,,False,False,False,True,workday
2025-02-11,1,2,,False,False,False,True,workday
2025-02-12,2,2,,False,False,False,True,workday
2025-02-13,3,2,,False,False,False,True,workday
2025-02-14,4,2,,False,False,False,True,workday
2025-02-15,5,2,,False,False,True,False,weekend
2025-02-16,6,2,,False,False,True,False,weekend
2025-02-17,0,2,,False,False,False,True,workday
2025-02-18,1,2,,False,False,False,True,workday
2025-02-19,2,2,,False,False,False,True,workday
2025-02-20,3,2,,False,False,False,True,workday
