date,slot,time_interval,day_type,load_forecast_kw,pv_forecast_kw,pv_mean3_forecast_kw,net_forecast_kw,reserve_requirement_kw
2025-02-01,0,00:00-00:10,holiday,2642.295654296875,0.0,0.0,2642.295654296875,140.93126148437506
2025-02-01,1,00:10-00:20,holiday,2653.950439453125,0.0,0.0,2653.950439453125,288.36662
2025-02-01,2,00:20-00:30,holiday,2768.98876953125,0.0,0.0,2768.98876953125,320.38042187500025
2025-02-01,3,00:30-00:40,holiday,2786.646484375,0.0,0.0,2786.646484375,203.79904390624995
2025-02-01,4,00:40-00:50,holiday,2808.963623046875,0.0,0.0,2808.963623046875,181.36749999999986
2025-02-01,5,00:50-01:00,holiday,2916.886474609375,0.0,0.0,2916.886474609375,220.96523046874987
2025-02-01,6,01:00-01:10,holiday,2826.1591796875,0.0,0.0,2826.1591796875,238.43274000000014
2025-02-01,7,01:10-01:20,holiday,2820.802490234375,0.0,0.0,2820.802490234375,298.7430110937503
2025-02-01,8,01:20-01:30,holiday,2772.479248046875,0.0,0.0,2772.479248046875,296.98200000000014
2025-02-01,9,01:30-01:40,holiday,2833.3037109375,0.0,0.0,2833.3037109375,257.1293034375003
2025-02-01,10,01:40-01:50,holiday,2962.36279296875,0.0,0.0,2962.36279296875,207.19108203125026
2025-02-01,11,01:50-02:00,holiday,3053.781005859375,0.0,0.0,3053.781005859375,236.75400000000016
2025-02-01,12,02:00-02:10,holiday,2958.882080078125,0.0,0.0,2958.882080078125,211.56843843750013
2025-02-01,13,02:10-02:20,holiday,2929.469482421875,0.0,0.0,2929.469482421875,298.45065484374976
2025-02-01,14,02:20-02:30,holiday,2969.0673828125,0.0,0.0,2969.0673828125,258.05463281249973
2025-02-01,15,02:30-02:40,holiday,2923.115966796875,0.0,0.0,2923.115966796875,244.66809523437536
2025-02-01,16,02:40-02:50,holiday,2930.965576171875,0.0,0.0,2930.965576171875,298.6042000000002
2025-02-01,17,02:50-03:00,holiday,3015.330078125,0.0,0.0,3015.330078125,244.49677734375004
2025-02-01,18,03:00-03:10,holiday,3131.003662109375,0.0,0.0,3131.003662109375,169.22312000000005
2025-02-01,19,03:10-03:20,holiday,2950.478515625,0.0,0.0,2950.478515625,215.54879625000015
2025-02-01,20,03:20-03:30,holiday,2951.24169921875,0.0,0.0,2951.24169921875,391.6640000000001
2025-02-01,21,03:30-03:40,holiday,2961.0498046875,0.0,0.0,2961.0498046875,325.48591999999974
2025-02-01,22,03:40-03:50,holiday,3142.555908203125,0.0,0.0,3142.555908203125,310.4182800000004
2025-02-01,23,03:50-04:00,holiday,3319.722900390625,0.0,0.0,3319.722900390625,328.6840000000007
2025-02-01,24,04:00-04:10,holiday,3273.369384765625,0.0,0.0,3273.369384765625,256.38663609375044
2025-02-01,25,04:10-04:20,holiday,3159.145263671875,0.0,0.0,3159.145263671875,182.94915531250035
2025-02-01,26,04:20-04:30,holiday,3171.056884765625,0.0,0.0,3171.056884765625,366.7106796875001
2025-02-01,27,04:30-04:40,holiday,3293.80908203125,0.0,0.0,3293.80908203125,170.53687843750032
2025-02-01,28,04:40-04:50,holiday,3340.809814453125,0.0,0.0016666666666666668,3340.809814453125,220.75403765625018
2025-02-01,29,04:50-05:00,holiday,3285.95068359375,0.0,0.0,3285.95068359375,194.6647734375001
2025-02-01,30,05:00-05:10,holiday,3286.26123046875,0.0,0.0,3286.26123046875,304.39267999999976
2025-02-01,31,05:10-05:20,holiday,3337.511962890625,0.0,0.0236,3337.511962890625,314.2233709374999
2025-02-01,32,05:20-05:30,holiday,3275.456298828125,0.0,0.0,3275.456298828125,166.35607031250038
2025-02-01,33,05:30-05:40,holiday,3316.8837890625,0.0,0.0,3316.8837890625,248.3166840625004
2025-02-01,34,05:40-05:50,holiday,3309.6025390625,0.0,0.32836666666666664,3309.6025390625,428.1012184375006
2025-02-01,35,05:50-06:00,holiday,3318.281982421875,0.0,0.0,3318.281982421875,235.521333333333
2025-02-01,36,06:00-06:10,holiday,3319.303955078125,0.0,0.0,3319.303955078125,203.15155333333394
2025-02-01,37,06:10-06:20,holiday,3274.448486328125,38.28579510426175,4.5739,3236.1626912238635,433.1209000000007
2025-02-01,38,06:20-06:30,holiday,3276.36572265625,0.0,0.0,3276.36572265625,184.05551171874984
2025-02-01,39,06:30-06:40,holiday,3286.7470703125,0.0,0.0,3286.7470703125,198.5119899999998
2025-02-01,40,06:40-06:50,holiday,3607.337890625,119.7388188928403,76.5167,3487.5990717321597,297.1721880745101
2025-02-01,41,06:50-07:00,holiday,3908.8779296875,314.75561301381094,320.6875,3594.122316673689,264.9608940279763
2025-02-01,42,07:00-07:10,holiday,3976.74169921875,562.7250349769045,582.3158666666667,3414.0166642418453,237.20574000000036
2025-02-01,43,07:10-07:20,holiday,3940.79736328125,841.8494750363743,854.38,3098.9478882448757,234.47207999999983
2025-02-01,44,07:20-07:30,holiday,3842.291015625,1131.7670296274919,1143.6125,2710.523985997508,515.7952313087385
2025-02-01,45,07:30-07:40,holiday,3836.24365234375,1422.6090024747357,1439.4685,2413.6346498690145,571.6026640977717
2025-02-01,46,07:40-07:50,holiday,3833.485595703125,1722.9032352120985,1733.57,2110.5823604910265,362.9608800000002
2025-02-01,47,07:50-08:00,holiday,3820.248046875,2032.2221552154833,2033.8875,1788.0258916595167,328.0874089557187
2025-02-01,48,08:00-08:10,holiday,3804.52197265625,2341.6455972558488,2347.4696,1462.8763754004012,356.13850666666593
2025-02-01,49,08:10-08:20,holiday,3819.927001953125,2637.3195562922583,2619.815,1182.6074456608667,501.85404000000017
2025-02-01,50,08:20-08:30,holiday,3872.380126953125,2932.9911170155738,2885.3249999999994,939.3890099375512,492.5085
2025-02-01,51,08:30-08:40,holiday,3865.340087890625,3253.835598507574,3229.6453333333334,611.5044893830509,420.8150009030775
