date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,41811.4102645282,41811.4102645282,0.0,0.0,20681.345411893664,16411.57998597371,0.0,3163.468905274912,17620.279666742143,0.0,0.0,17620.279666742143
2025-02-02,87463.45401457825,87463.45401457825,0.0,0.0,22212.415653959903,18130.197192070802,0.0,5024.957602689155,60946.651960866635,0.0,0.0,60946.651960866635
2025-02-03,86878.99612107659,86878.99612107659,0.0,0.0,22541.856121278597,18242.55532183716,0.0,2362.778821635154,61680.20383088541,0.0,0.0,61680.20383088541
2025-02-04,86442.36013326413,86442.36013326413,0.0,0.0,23226.129663006173,19033.84565611775,643.1919832236864,1698.4041595993972,61233.203513343295,0.0,4212.907490115146,65446.11100345844
2025-02-05,86277.77490657865,86277.77490657865,0.0,0.0,23860.988550454615,19012.249551970457,48.93486998008521,729.5437947412526,60908.57299899127,0.0,220.47605669527388,61129.04905568655
2025-02-06,86161.62242156515,86161.62242156515,0.0,0.0,23471.31438364293,19212.750594701898,28.49742925806345,1660.4988452155208,60789.20848542913,0.0,204.47409584865923,60993.68258127779
2025-02-07,41223.48065573542,41223.48065573542,0.0,0.0,19760.78769982279,15884.916302038808,0.0,5541.929591284772,17278.30830878364,0.0,0.0,17278.30830878364
2025-02-08,39056.84658173094,39056.84658173094,0.0,0.0,19933.82152708693,16101.336958353935,0.0,3647.199296331284,16208.496494572479,0.0,0.0,16208.496494572479
2025-02-09,84250.15195849621,84250.15195849621,0.0,0.0,22174.749555158727,18410.402899821685,83.64378527349554,1014.0331217660039,59654.21726632164,0.0,411.0255911803535,60065.242857501995
2025-02-10,84405.77588155365,84405.77588155365,0.0,0.0,20923.361313599285,16733.910848718544,0.0,5889.687833339585,57163.577297077616,0.0,0.0,57163.577297077616
2025-02-11,82850.9400316276,82850.9400316276,0.0,0.0,22616.433572007914,18371.04193656925,40.88344237630217,3425.834705231915,56486.87660089127,0.0,215.62454989501316,56702.50115078629
2025-02-12,82691.30716045003,82691.30716045003,0.0,0.0,22480.95613971405,18124.78850909481,111.60588269217783,3180.0092791896377,56113.28612528197,0.0,717.5700227693574,56830.85614805133
2025-02-13,81910.6016365683,81910.6016365683,0.0,0.0,20306.052309125083,16435.20289436658,0.0,6710.273205143134,54971.7496191756,0.0,0.0,54971.7496191756
2025-02-14,37637.17218037277,37637.17218037277,0.0,0.0,18745.966169297782,15094.104825446886,0.0,4183.509019855213,15594.949456118404,0.0,0.0,15594.949456118404
2025-02-15,37078.274854103896,37078.274854103896,0.0,0.0,19275.92604819182,15892.283249869766,0.0,4414.540955781847,15945.570912116898,0.0,0.0,15945.570912116898
2025-02-16,79068.76156213043,79068.76156213043,0.0,0.0,21390.28015441057,17430.252204524055,614.6326323267724,345.9871445706949,54179.32843387518,0.0,3928.105796081378,58107.434229956554
