variant,date,issue_datetime,issue_hour,first_target_end,last_target_end,soc_measured_kwh,planned_terminal_kwh,milp_gap,price_mode,radius_scale,nominal_horizon_proxy_cost_yuan,box_worst_horizon_proxy_cost_yuan,q2_pv_history_only,load_history_through_date
4-2,2025-01-01,2025-01-01 00:00:00,0,2025-01-01 00:10:00,2025-01-02 00:00:00,6000.0,6000.0,0.0,forecast,1.0,0.0,0.0,True,
4-2,2025-01-02,2025-01-02 00:00:00,0,2025-01-02 00:10:00,2025-01-03 00:00:00,1200.0,6000.0,0.0,forecast,1.0,76502.53411275844,76502.53411275844,True,2025-01-01
4-2,2025-01-03,2025-01-03 00:00:00,0,2025-01-03 00:10:00,2025-01-04 00:00:00,5944.373769444444,6000.0,0.0,forecast,1.0,74336.44879783457,74336.44879783457,True,2025-01-02
4-2,2025-01-04,2025-01-04 00:00:00,0,2025-01-04 00:10:00,2025-01-05 00:00:00,10800.0,6000.0,0.0,forecast,1.0,20889.525969958166,20889.525969958166,True,2025-01-03
4-2,2025-01-05,2025-01-05 00:00:00,0,2025-01-05 00:10:00,2025-01-06 00:00:00,5732.503494814815,6000.0,0.0,forecast,1.0,22354.277501426,22354.277501426,True,2025-01-04
4-2,2025-01-06,2025-01-06 00:00:00,0,2025-01-06 00:10:00,2025-01-07 00:00:00,4226.980993888888,6000.0,0.0,forecast,1.0,74053.86415756913,74053.86415756913,True,2025-01-05
4-2,2025-01-07,2025-01-07 00:00:00,0,2025-01-07 00:10:00,2025-01-08 00:00:00,5907.953200407406,6000.0,0.0,forecast,1.0,72799.47080746296,72799.47080746296,True,2025-01-06
4-2,2025-01-08,2025-01-08 00:00:00,0,2025-01-08 00:10:00,2025-01-09 00:00:00,5953.206382592593,6000.0,0.0,forecast,1.0,74790.37069098634,74790.37069098634,True,2025-01-07
4-2,2025-01-09,2025-01-09 00:00:00,0,2025-01-09 00:10:00,2025-01-10 00:00:00,6038.625800185186,6000.0,0.0,forecast,1.0,69744.60566184453,69744.60566184453,True,2025-01-08
4-2,2025-01-10,2025-01-10 00:00:00,0,2025-01-10 00:10:00,2025-01-11 00:00:00,5915.779028148148,6000.0,1.2615360576745394e-16,forecast,1.0,55487.867558154176,57675.38367151875,True,2025-01-09
4-2,2025-01-11,2025-01-11 00:00:00,0,2025-01-11 00:10:00,2025-01-12 00:00:00,10800.0,6000.0,0.0,forecast,1.0,20104.4130329095,21903.189928192383,True,2025-01-10
4-2,2025-01-12,2025-01-12 00:00:00,0,2025-01-12 00:10:00,2025-01-13 00:00:00,5524.254806296296,6000.0,0.0,forecast,1.0,29067.397010792458,31507.633492481866,True,2025-01-11
4-2,2025-01-13,2025-01-13 00:00:00,0,2025-01-13 00:10:00,2025-01-14 00:00:00,4130.015386851852,6000.0,0.0,forecast,1.0,73093.68356885017,78698.25932114926,True,2025-01-12
4-2,2025-01-14,2025-01-14 00:00:00,0,2025-01-14 00:10:00,2025-01-15 00:00:00,5808.690991666668,6000.0,0.0,forecast,1.0,69396.90614097143,75027.30796416472,True,2025-01-13
4-2,2025-01-15,2025-01-15 00:00:00,0,2025-01-15 00:10:00,2025-01-16 00:00:00,6048.470807592594,6000.0,0.0,forecast,1.0,69586.66968475698,75506.16828752628,True,2025-01-14
4-2,2025-01-16,2025-01-16 00:00:00,0,2025-01-16 00:10:00,2025-01-17 00:00:00,6084.00949462963,6000.0,0.0,forecast,1.0,69732.57030149842,75842.6600766242,True,2025-01-15
4-2,2025-01-17,2025-01-17 00:00:00,0,2025-01-17 00:10:00,2025-01-18 00:00:00,5972.915693333332,6000.0,0.0,forecast,1.0,53627.00572251419,59815.76456671579,True,2025-01-16
4-2,2025-01-18,2025-01-18 00:00:00,0,2025-01-18 00:10:00,2025-01-19 00:00:00,10800.0,6000.0,0.0,forecast,1.0,40663.02959743208,45598.65097891559,True,2025-01-17
4-2,2025-01-19,2025-01-19 00:00:00,0,2025-01-19 00:10:00,2025-01-20 00:00:00,9525.869388888888,6000.0,0.0,forecast,1.0,39398.245274190514,43250.89826476108,True,2025-01-18
4-2,2025-01-20,2025-01-20 00:00:00,0,2025-01-20 00:10:00,2025-01-21 00:00:00,5006.575106172839,6000.0,0.0,forecast,1.0,40889.059408811256,45048.33569512227,True,2025-01-19
4-2,2025-01-21,2025-01-21 00:00:00,0,2025-01-21 00:10:00,2025-01-22 00:00:00,4811.569552839506,6000.0,0.0,forecast,1.0,54936.42474941506,60153.45980982068,True,2025-01-20
4-2,2025-01-22,2025-01-22 00:00:00,0,2025-01-22 00:10:00,2025-01-23 00:00:00,5444.783959135802,6000.0,0.0,forecast,1.0,67147.9058753009,73251.01996412057,True,2025-01-21
4-2,2025-01-23,2025-01-23 00:00:00,0,2025-01-23 00:10:00,2025-01-24 00:00:00,5849.215705608362,6000.0,1.984050900025176e-16,forecast,1.0,67107.75762649835,73344.46524624039,True,2025-01-22
4-2,2025-01-24,2025-01-24 00:00:00,0,2025-01-24 00:10:00,2025-01-25 00:00:00,5792.341520752798,6000.0,0.0,forecast,1.0,20357.553641305018,23369.687914548635,True,2025-01-23
4-2,2025-01-25,2025-01-25 00:00:00,0,2025-01-25 00:10:00,2025-01-26 00:00:00,6174.014543588145,6000.0,0.0,forecast,1.0,20051.092470734286,22991.61698934732,True,2025-01-24
4-2,2025-01-26,2025-01-26 00:00:00,0,2025-01-26 00:10:00,2025-01-27 00:00:00,6043.941538866464,6000.0,0.0,forecast,1.0,65233.52041812031,71341.15216059751,True,2025-01-25
4-2,2025-01-27,2025-01-27 00:00:00,0,2025-01-27 00:10:00,2025-01-28 00:00:00,5992.320281332273,6000.0,0.0,forecast,1.0,65960.00616672086,72200.39253907927,True,2025-01-26
4-2,2025-01-28,2025-01-28 00:00:00,0,2025-01-28 00:10:00,2025-01-29 00:00:00,5719.11716517337,6000.0,0.0,forecast,1.0,63059.76223843982,69146.95160396965,True,2025-01-27
4-2,2025-01-29,2025-01-29 00:00:00,0,2025-01-29 00:10:00,2025-01-30 00:00:00,5961.135401435909,6000.0,0.0,forecast,1.0,66055.40399158196,72417.99219645208,True,2025-01-28
4-2,2025-01-30,2025-01-30 00:00:00,0,2025-01-30 00:10:00,2025-01-31 00:00:00,6323.727615900605,6000.0,0.0,forecast,1.0,64408.94629215359,70563.01618806363,True,2025-01-29
4-2,2025-01-31,2025-01-31 00:00:00,0,2025-01-31 00:10:00,2025-02-01 00:00:00,5919.589079678096,6000.0,0.0,forecast,1.0,18177.618952850582,20955.261847239046,True,2025-01-30
4-2,2025-02-01,2025-02-01 00:00:00,0,2025-02-01 00:10:00,2025-02-02 00:00:00,6135.562162010996,6000.0,0.0,forecast,1.0,18185.950638827013,20827.139265189868,True,2025-01-31
4-2,2025-02-02,2025-02-02 00:00:00,0,2025-02-02 00:10:00,2025-02-03 00:00:00,6513.684159411169,6000.0,0.0,forecast,1.0,63724.07135887754,69910.61822375141,True,2025-02-01
4-2,2025-02-03,2025-02-03 00:00:00,0,2025-02-03 00:10:00,2025-02-04 00:00:00,6357.815787785011,6000.0,0.0,forecast,1.0,62435.49889650622,68634.50131282954,True,2025-02-02
4-2,2025-02-04,2025-02-04 00:00:00,0,2025-02-04 00:10:00,2025-02-05 00:00:00,6366.512713419489,6000.0,0.0,forecast,1.0,61389.28580429242,67516.2211251469,True,2025-02-03
4-2,2025-02-05,2025-02-05 00:00:00,0,2025-02-05 00:10:00,2025-02-06 00:00:00,6123.054635097657,6000.0,0.0,forecast,1.0,61391.96665831174,67486.7036663626,True,2025-02-04
4-2,2025-02-06,2025-02-06 00:00:00,0,2025-02-06 00:10:00,2025-02-07 00:00:00,6487.624910519386,6000.0,0.0,forecast,1.0,61908.05722596813,67970.25373261214,True,2025-02-05
4-2,2025-02-07,2025-02-07 00:00:00,0,2025-02-07 00:10:00,2025-02-08 00:00:00,6260.008853743547,6000.0,0.0,forecast,1.0,17686.336133195407,20345.193033392105,True,2025-02-06
4-2,2025-02-08,2025-02-08 00:00:00,0,2025-02-08 00:10:00,2025-02-09 00:00:00,6394.810781318717,6000.0,0.0,forecast,1.0,16239.519198727343,18711.328575957912,True,2025-02-07
4-2,2025-02-09,2025-02-09 00:00:00,0,2025-02-09 00:10:00,2025-02-10 00:00:00,6469.338245879501,6000.0,0.0,forecast,1.0,59868.8924781948,65882.41860231594,True,2025-02-08
4-2,2025-02-10,2025-02-10 00:00:00,0,2025-02-10 00:10:00,2025-02-11 00:00:00,5918.969225242332,6000.0,0.0,forecast,1.0,58734.54238214552,64547.9056980905,True,2025-02-09
4-2,2025-02-11,2025-02-11 00:00:00,0,2025-02-11 00:10:00,2025-02-12 00:00:00,6224.865065605468,6000.0,0.0,forecast,1.0,57154.237787338425,62874.68186395147,True,2025-02-10
4-2,2025-02-12,2025-02-12 00:00:00,0,2025-02-12 00:10:00,2025-02-13 00:00:00,6126.45943742694,6000.0,0.0,forecast,1.0,56576.9036734716,62236.419693362346,True,2025-02-11
4-2,2025-02-13,2025-02-13 00:00:00,0,2025-02-13 00:10:00,2025-02-14 00:00:00,6221.213109580439,6000.0,0.0,forecast,1.0,56230.351547448154,61824.84408100418,True,2025-02-12
4-2,2025-02-14,2025-02-14 00:00:00,0,2025-02-14 00:10:00,2025-02-15 00:00:00,6234.776593091721,6000.0,0.0,forecast,1.0,15672.511578136648,17947.09280130805,True,2025-02-13
4-2,2025-02-15,2025-02-15 00:00:00,0,2025-02-15 00:10:00,2025-02-16 00:00:00,6371.404467413272,6000.0,0.0,forecast,1.0,14997.042121733426,17164.49032717008,True,2025-02-14
4-2,2025-02-16,2025-02-16 00:00:00,0,2025-02-16 00:10:00,2025-02-17 00:00:00,6020.068662121304,6000.0,0.0,forecast,1.0,52968.696227176726,58459.653234519064,True,2025-02-15
4-2,2025-02-17,2025-02-17 00:00:00,0,2025-02-17 00:10:00,2025-02-18 00:00:00,5895.075283072193,6000.0,0.0,forecast,1.0,52571.28354801421,58103.94849003342,True,2025-02-16
4-2,2025-02-18,2025-02-18 00:00:00,0,2025-02-18 00:10:00,2025-02-19 00:00:00,6095.312051026476,6000.0,0.0,forecast,1.0,51402.950780680214,56813.65370671703,True,2025-02-17
4-2,2025-02-19,2025-02-19 00:00:00,0,2025-02-19 00:10:00,2025-02-20 00:00:00,6144.446154861069,6000.0,0.0,forecast,1.0,51958.923910942016,57244.102537674335,True,2025-02-18
