date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_soc_kwh,terminal_soc_kwh
2025-02-01,50847.451460969976,50847.451460969976,0.0,0.0,18528.175144496847,14956.826287191841,0.0,12897.92667033164,22463.347173826427,0.0,0.0,22463.347173826427,7823.286130188512,7879.947885578076
2025-02-02,96353.8702897787,96370.85334154085,16.983051762152968,0.0,20775.374685757943,17122.764578407117,0.0,14361.965284190032,68800.07955317858,26.758223576377933,0.0,68826.83777675497,7879.947885578076,7552.491126752315
2025-02-03,97014.69589306488,97014.69589306488,0.0,0.0,19614.430426324478,16131.365173975693,0.0,13314.7141407161,70773.1454672338,0.0,0.0,70773.1454672338,7552.491126752315,7281.739428249134
2025-02-04,99249.97648118998,99249.97648118998,0.0,0.0,20346.803353860698,16513.669260525174,0.0,14221.97843785446,73076.98007891196,0.0,0.0,73076.98007891196,7281.739428249134,7245.341046140237
2025-02-05,93482.3249165199,93727.48587012233,245.16095360243168,0.0,21460.66855356037,17363.472934110243,0.0,8881.863267338873,67563.00239420835,395.299822593674,0.0,67958.30221680203,7245.341046140237,7267.1950397776345
2025-02-06,99165.31153941732,99165.31153941732,0.0,0.0,21441.354659581244,17580.797009878475,0.0,15033.696673047887,72320.89890430696,0.0,0.0,72320.89890430696,7267.1950397776345,7030.195333535782
2025-02-07,50348.33609084469,50348.33609084469,0.0,0.0,18478.59415266364,14674.803815347223,0.0,14738.866086861604,21618.09107161511,0.0,0.0,21618.09107161511,7030.195333535782,7355.592498325036
2025-02-08,40770.57174733836,41356.14482929755,585.5730819591844,0.0,18513.90359730823,14942.27288900187,0.0,6207.351404324524,17232.9189130292,453.36551614125835,0.0,17686.28442917046,7355.592498325036,7415.580303678143
2025-02-09,94443.50004828822,94444.87048480105,1.3704365128464815,0.0,20026.55230502915,16609.610487113714,0.0,11472.512700218962,68022.93293643379,2.2762265260123633,0.0,68025.2091629598,7415.580303678143,6984.354614744697
2025-02-10,88844.25221141384,88844.25221141384,0.0,0.0,19544.530744912227,15908.832234709202,0.0,10881.916117877496,61263.72837217948,0.0,0.0,61263.72837217948,6984.354614744697,6897.952024377696
2025-02-11,89442.86275554345,89442.9218072101,0.059051666667301106,0.0,21796.31511837904,17850.021835603296,0.0,10276.031391101038,62241.21325092803,0.09469820525101741,0.0,62241.307949133276,6897.952024377696,6681.278035804064
2025-02-12,89725.69643217961,89725.69643217961,0.0,0.0,20511.491034635415,16445.172726961806,0.0,10392.641991172672,62227.2927269734,0.0,0.0,62227.2927269734,6681.278035804064,6869.20582590726
2025-02-13,84205.01621529835,84290.35055579292,85.33434049457304,0.0,19347.619794992977,15713.352263051218,0.0,9326.604007184498,56860.1298148344,131.67583863935917,0.0,56991.80565347376,6869.20582590726,6822.783349121814
2025-02-14,40957.107351318744,41417.655325424654,460.54797410590345,0.0,18138.18300634227,14502.539145963541,0.0,7980.209648379255,16907.596635018435,457.36840441194335,0.0,17364.96503943038,6822.783349121814,7033.215670425927
2025-02-15,40434.42723627346,40434.42723627346,0.0,0.0,18358.998508097346,15203.371514309894,0.0,7998.709142486011,17614.991015924705,0.0,0.0,17614.991015924705,7033.215670425927,6663.679311813656
2025-02-16,89443.11209281122,89451.08569583361,7.973603022391671,0.0,20246.321709315685,16461.877539060937,0.0,10289.262425578865,62318.204457657244,14.718473819032786,0.0,62332.92293147628,6663.679311813656,6594.393806796731
2025-02-17,88281.93884361138,88281.93884361138,0.0,0.0,18520.9458484166,15010.881600572915,0.0,13588.011429101029,60593.99799137705,0.0,0.0,60593.99799137705,6594.393806796731,6584.4877364017675
2025-02-18,77814.34922449813,78173.547701972,359.19847747386865,0.0,22101.23785235308,17906.632453798957,0.0,1887.5545200845447,51713.14144435984,403.6156878158565,0.0,52116.7571321757,6584.4877364017675,6579.343521520689
