date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,50847.451460969976,50847.451460969976,0.0,0.0,18528.175144496847,14956.826287191841,0.0,12897.926670331643,22467.03443336188,0.0,0.0,22467.03443336188
2025-02-02,96353.8702897787,96370.85334154085,16.983051762152968,0.0,20828.544382060023,17141.9591903342,0.0,14327.990199815033,68785.15029274159,26.758223576377933,0.0,68811.90851631797
2025-02-03,97143.55658185796,97143.55658185796,0.0,0.0,20354.14060714029,16748.699879809024,0.0,13321.199354526703,70708.52457246449,0.0,0.0,70708.52457246449
2025-02-04,99401.26860130717,99401.26860130717,0.0,0.0,21077.852412295786,17064.898344027777,0.0,14193.45058303916,73015.26941073674,0.0,0.0,73015.26941073674
2025-02-05,93424.76437758793,93669.92533119036,245.16095360243168,0.0,21447.270259263812,17373.85978047743,0.0,8848.087869070647,67472.52943991392,395.299822593674,0.0,67867.8292625076
2025-02-06,99133.97256190189,99133.97256190189,0.0,0.0,21396.705987975016,17570.016157664933,0.0,15036.22551492514,72285.46063366141,0.0,0.0,72285.46063366141
2025-02-07,50348.33609084469,50348.33609084469,0.0,0.0,18478.59415266364,14674.803815347223,0.0,14738.866086861604,21623.214754453784,0.0,0.0,21623.214754453784
2025-02-08,40933.9812434024,41197.48709536421,263.5058519618104,0.0,19220.61957756918,15571.17472638889,0.0,5970.879527517252,17271.475888299014,250.0283704824163,0.0,17521.50425878143
2025-02-09,94503.49245045535,94504.8628869682,1.3704365128464815,0.0,20227.771132272755,16644.662624496526,0.0,11366.338412525307,68084.83379296637,2.2762265260123633,0.0,68087.11001949238
2025-02-10,88756.01366905724,88756.01366905724,0.0,0.0,19398.50969547228,15908.832234709202,0.0,10939.698624960833,61063.83794723624,0.0,0.0,61063.83794723624
2025-02-11,89500.64526262677,89500.70431429344,0.059051666667301106,0.0,21912.936982083174,17897.681714466144,0.0,10264.851913343084,62219.071661957714,0.09469820525101741,0.0,62219.16636016297
2025-02-12,89855.26213105115,89855.26213105115,0.0,0.0,21193.415765538193,16997.531758993056,0.0,10392.64199117267,62164.50962768054,0.0,0.0,62164.50962768054
2025-02-13,84205.01621529835,84290.35055579292,85.33434049457304,0.0,19372.072396812684,15733.158870525176,0.0,9321.958012838752,56864.390889646755,131.67583863935917,0.0,56996.06672828611
2025-02-14,40957.10735131875,41417.655325424654,460.54797410590345,0.0,18073.699740400432,14502.539145963541,0.0,8044.6929143210955,16937.807840492955,457.36840441194335,0.0,17395.1762449049
2025-02-15,40619.990546269124,40619.990546269124,0.0,0.0,19003.345763445694,15673.061345729166,0.0,8009.6150285525955,17675.33662454853,0.0,0.0,17675.33662454853
2025-02-16,89284.77875947788,89292.75236250028,7.973603022394059,0.0,19578.963246677926,15920.52268958177,0.0,10256.932705404126,62403.1900733011,15.628660604043475,0.0,62418.818733905144
2025-02-17,88011.15575678862,88011.15575678862,0.0,0.0,18519.489534097163,14912.7257643967,0.0,13220.528820421492,60651.764881160096,0.0,0.0,60651.764881160096
2025-02-18,77693.64463644868,77982.02242282037,288.3777863716953,0.0,22203.662370534443,18093.9927522842,0.0,1780.9650212368012,51733.61483071445,348.84353917475266,0.0,52082.4583698892
2025-02-19,78814.82514207647,78953.33129592669,138.5061538502179,0.0,22829.464452594897,18743.618417543013,27.0,2015.157877541471,52560.87459843632,200.01225603776234,144.4905,52905.377354474076
2025-02-20,81893.88080733297,82084.10566734683,190.2248600138456,0.0,21428.868324549363,17207.434732616362,10.652207960069404,6880.190550040562,55098.700279679855,308.6424687852045,59.76421275996939,55467.10696122503
2025-02-21,35830.039893405636,35958.42759415216,128.38770074652786,0.0,19075.2563219714,15238.602870552693,0.0,6561.512109400129,15054.925108678695,152.53475995763813,0.0,15207.459868636335
2025-02-22,35987.67445019435,36055.959130194344,68.28468000000078,0.0,18888.215842054873,15405.908743098957,0.0,4728.889147905096,15466.197701886234,104.5984728240012,0.0,15570.796174710234
2025-02-23,80464.301371559,81027.26761730354,562.9662457445355,0.0,21062.37374892844,17442.742325114843,0.0,5875.782510156622,53706.54895637905,866.2522194627832,0.0,54572.80117584183
2025-02-24,77178.32868287551,77200.5442926756,22.215609800087805,0.0,21432.683521509072,17096.4617521704,31.480576684027938,4692.769483354285,51409.31882085499,43.50371789102195,160.22135656704074,51613.04389531305
2025-02-25,78801.63031701335,78813.6411382414,12.010821228038594,0.0,19558.456979663544,15941.65740191406,31.664648333333503,9407.18297549191,51497.512960223095,19.062358613965667,162.34774607583415,51678.923064912895
2025-02-26,72993.28514803336,75082.10995918124,2088.824811147875,0.0,22347.182277543827,17901.090368811932,12.559896588541733,1833.7299137045604,47508.76946453242,2279.707785988102,63.05715011968784,49851.534400640216
2025-02-27,73610.79835828167,74267.0598888847,656.2615306030224,0.0,22539.902853702304,18464.33941220577,12.453090182291703,3247.3653375704607,47038.91114633528,853.6966300238106,63.168497358906436,47955.776273718
