date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,50853.42051451465,50853.42051451465,0.0,0.0,18489.46301042133,14956.826287191841,0.0,12942.607857951827,22431.191556227193,0.0,0.0,22431.191556227193
2025-02-02,96392.58242385421,96409.56547561637,16.983051762152968,0.0,20867.256516135545,17141.9591903342,0.0,14327.990199815033,68809.86516978468,26.758223576377933,0.0,68836.62339336106
2025-02-03,97081.49050179633,97081.49050179633,0.0,0.0,20027.477027868597,16484.102380598957,0.0,13321.199354526701,70792.86456942404,0.0,0.0,70792.86456942404
2025-02-04,99401.26860130717,99401.26860130717,0.0,0.0,21077.852412295786,17064.898344027777,0.0,14193.45058303916,72983.74256471307,0.0,0.0,72983.74256471307
2025-02-05,93678.22673566728,93923.3876892697,245.16095360243182,0.0,22862.298630625482,18519.566339444442,0.0,8832.228414755336,67385.91759828445,395.29982259367415,0.0,67781.21742087812
2025-02-06,99291.73006580814,99291.73006580814,0.0,0.0,22194.202181773566,18167.635342239588,0.0,14994.106009607496,72359.21384079628,0.0,0.0,72359.21384079628
2025-02-07,50424.96978892029,50424.96978892029,0.0,0.0,19056.3925836454,15191.639698680556,0.0,14754.537237288776,21562.757701582817,0.0,0.0,21562.757701582817
2025-02-08,40938.61518021176,41202.12103217356,263.5058519618104,0.0,19220.619577569178,15571.17472638889,0.0,5975.513464326615,17256.105583879224,250.0283704824163,0.0,17506.13395436164
2025-02-09,94503.49245045535,94504.8628869682,1.3704365128464815,0.0,20277.52703230094,16718.29864529514,0.0,11390.218533295736,67976.14889957185,2.2762265260123633,0.0,67978.42512609788
2025-02-10,88755.33469618515,88755.78765340737,0.452957222222949,0.0,19699.23116428985,15985.209775638019,0.0,10715.12868142222,61083.78641628553,0.7025366516677939,0.0,61084.488952937194
2025-02-11,89205.81716876119,89205.87622042786,0.059051666667301106,0.0,21519.85368161362,17621.22360832031,0.0,10086.649013801229,62186.09988691101,0.09469820525101741,0.0,62186.19458511627
2025-02-12,89909.76685258166,89909.76685258166,0.0,0.0,21739.06647531154,17592.420245190973,0.0,10496.384489127757,62121.06646980906,0.0,0.0,62121.06646980906
2025-02-13,84291.39355030858,84376.72789080316,85.33434049457304,0.0,19493.982867473576,15770.928680282119,0.0,9324.194686945037,56852.61505387372,131.67583863935917,0.0,56984.290892513076
2025-02-14,41087.04510733631,41547.59308144221,460.54797410590345,0.0,18654.526201305776,14973.008579296873,0.0,8064.273642766639,16937.769874431135,457.36840441194335,0.0,17395.13827884308
2025-02-15,40625.62227924897,40625.62227924897,0.0,0.0,19045.791255475015,15702.311879518229,0.0,8002.051803292184,17557.897121872476,0.0,0.0,17557.897121872476
2025-02-16,89154.87621711184,89162.84982013423,7.973603022394059,0.0,19716.28479121485,16034.481940263195,0.0,10103.66786918258,62491.40352728561,15.628660604043475,0.0,62507.03218788966
2025-02-17,88008.19092327236,88008.19092327236,0.0,0.0,18928.77774152054,15286.498348216146,0.0,13182.048363301294,60660.55476751662,0.0,0.0,60660.55476751662
2025-02-18,77691.61329640774,77999.33337986868,307.7200834609395,0.0,22148.96376067011,18009.839257635762,0.0,1768.8210935010006,51757.29230232424,374.5242041021313,0.0,52131.81650642637
2025-02-19,78728.63916565661,78867.14531950683,138.50615385021797,0.0,22460.200673970925,18457.931309990927,73.96492364583332,2059.513495839332,52598.15008192017,200.01728228539872,399.22824585499995,53197.395610060565
2025-02-20,81878.77778650993,82069.00264652378,190.2248600138456,0.0,21481.722620783607,17243.725383006986,10.652207960069404,6848.523883373896,55107.72333209474,313.0364287485261,59.76421275996939,55480.52397360324
